,N,Z,A,m,be,be_RFR,be_XGB,be_MLP,BE_SEMF,be_a_semf,be_a_RFR,be_a_XGB,be_a_MLP,be_a
0,0,1,1,1.007825032,0.047823608,-1.839576153,-2.028259,0.648924434,-25.75,-25.75,-1.839576153,-2.028259,0.648924434,0.047823608
1,3,3,6,6.015122794,32.12192619,28.06495672,30.711208,33.93754328,33.3780247,5.563004116,4.677492786666667,5.118534666666666,5.656257213333333,5.353654365
2,6,1,7,7.052749,6.6285338,22.03638079,17.659521,9.205378735,-39.52849878,-5.646928397,3.1480543985714284,2.5227887142857144,1.315054105,0.9469334
3,3,5,8,8.024607233,37.95777028,39.43796526,46.73168,41.712099,35.84,4.48,4.9297456575,5.84146,5.214012375,4.744721285
4,6,2,8,8.033921897,31.48949509,34.35193629,40.64195,26.63313261,6.689,0.836125,4.29399203625,5.08024375,3.32914157625,3.936186886
5,3,6,9,9.031036689,39.30487514,39.73705684,48.901752,41.81587537,30.7794785,3.419942056,4.415228537777778,5.433528,4.646208374444445,4.367208349
6,4,5,9,9.013328782,56.52549556,49.67114808,56.444443,59.22310497,55.26427665,6.140475183,5.519016453333333,6.271604777777778,6.580344996666667,6.280610618
7,5,4,9,9.012182201,58.32752147,52.53839192,57.819542,57.19092327,57.99878183,6.444309093,5.837599102222223,6.424393555555556,6.35454703,6.480835719
8,8,2,10,10.05239884,30.42243596,43.71422291,34.809223,30.3995666,-11.10031517,-1.110031517,4.371422291,3.4809223000000005,3.03995666,3.042243596
9,8,4,12,12.02692074,68.80840386,70.59128053,67.23343,69.19736307,60.3749121,5.031242675,5.8826067108333335,5.602785833333333,5.766446922499999,5.734033655
10,7,5,12,12.0143521,79.7752487,82.07847091,79.01628,80.9278622,81.59044926,6.799204105,6.839872575833333,6.584689999999999,6.7439885166666675,6.647937392
11,4,8,12,12.0344049,58.9024149,72.50356291,73.92005,58.96246086,46.71036647,3.89253054,6.041963575833333,6.160004166666667,4.913538405,4.908534575
12,9,3,12,12.05378,44.5369918,64.23160976,60.18946,52.52388037,22.73825923,1.894854936,5.3526341466666665,5.015788333333333,4.376990030833333,3.711415983
13,6,7,13,13.00573861,94.39277729,88.03101154,82.48455,91.69725926,91.81471036,7.062670027,6.771616272307692,6.344965384615384,7.053635327692307,7.260982868
14,7,6,13,13.00335484,97.34662616,91.14790545,89.51719,92.90065284,95.4432878,7.341791369,7.011377342307692,6.885937692307692,7.146204064615385,7.488202012
15,8,6,14,14.00324199,105.5191769,98.30173442,103.79793,99.13895649,101.4820854,7.248720385,7.021552458571429,7.4141378571428564,7.0813540349999995,7.537084064
16,8,7,15,15.0001089,115.7690121,108.0695571,104.61956,110.6519486,114.2983567,7.61989045,7.20463714,6.974637333333334,7.376796573333333,7.71793414
17,8,8,16,15.99491462,127.9378152,113.9894565,124.69851,119.1160307,123.176055,7.698503439,7.12434103125,7.793656875,7.44475191875,7.99611345
18,11,5,16,16.03980883,88.34498267,88.75055573,94.81666,91.87782056,80.00883436,5.000552148,5.546909733125,5.92604125,5.742363785,5.521561417
19,9,7,16,16.00610166,118.2572399,112.4096207,118.119026,118.4046689,121.2013025,7.575081409,7.02560129375,7.382439125,7.40029180625,7.391077494
20,9,8,17,16.9991317,132.0792011,129.6164712,128.59862,128.7341733,133.1864927,7.834499572,7.624498305882353,7.564624705882354,7.572598429411765,7.769364771
21,12,5,17,17.04698991,89.72688459,93.62740704,81.44577,93.35392806,76.22341466,4.483730274,5.5074945317647055,4.790927647058823,5.491407532941176,5.278052035
22,12,6,18,18.02675935,115.8944644,114.9628252,107.84343,112.528285,105.7056006,5.872533368,6.386823622222222,5.991301666666667,6.251571388888888,6.438581356
23,7,12,19,19.03547,111.4449826,126.951461,118.87594,114.6083351,106.1516338,5.586928094,6.681655842105263,6.256628421052632,6.032017636842106,5.8655254
24,12,7,19,19.0170287,132.2866279,134.1768522,121.83342,132.5288301,130.1322815,6.849067449,7.061939589473685,6.412285263157895,6.975201584210526,6.9624541
25,13,6,19,19.03480502,116.471433,116.9692328,105.998764,114.0890976,103.3928591,5.441729428,6.156275410526316,5.578882315789474,6.004689347368421,6.130075421
26,14,7,21,21.02710824,139.037551,137.7387805,138.5251,135.5894722,129.1386213,6.149458157,6.558989547619047,6.596433333333334,6.4566415333333325,6.620835762
27,8,13,21,21.02804,133.7627284,141.2480053,142.74687,134.2737502,126.8454927,6.040261555,6.72609549047619,6.79747,6.393988104761904,6.369653733
28,14,8,22,22.00996695,162.3290204,162.2783888,156.26132,155.5148447,153.7531767,6.988780757,7.376290399999999,7.102787272727273,7.068856577272727,7.378591836
29,14,9,23,23.00357463,175.6131987,176.6871853,171.91579,175.5492533,174.5293752,7.588233704,7.682051534782609,7.474599565217391,7.632576230434783,7.635356465
30,10,13,23,23.00726743,169.2369659,173.1036735,172.13548,169.6493754,170.0153495,7.391971715,7.526246673913044,7.484151304347826,7.3760598,7.358128952
31,9,15,24,24.03435,150.6214626,165.6837659,165.19698,152.2353123,142.5851459,5.941047744,6.903490245833333,6.8832075,6.3431380125,6.275894275
32,14,11,25,24.98995397,202.9598899,200.5621792,196.77983,199.9039071,206.282697,8.25130788,8.022487168,7.8711932000000004,7.996156284,8.118395596
33,12,13,25,24.9904281,201.0493569,199.4982358,195.6381,202.2553416,202.6814023,8.107256093,7.9799294320000005,7.825524000000001,8.090213664,8.041974276
34,18,7,25,25.06066,140.070812,155.690518,145.13956,141.8466101,116.6414804,4.665659216,6.22762072,5.8055824,5.673864404,5.60283248
35,18,8,26,26.03834,168.1836604,172.6696983,178.06181,161.7194504,148.6865194,5.718712285,6.6411422423076925,6.848531153846154,6.219978861538461,6.468602323
36,10,16,26,26.02788,172.0454484,183.2906056,189.83006,171.1044067,162.8649223,6.264035475,7.0496386769230766,7.301156153846154,6.580938719230769,6.617132631
37,13,13,26,25.98689169,212.409242,215.0673643,217.40733,212.3054619,215.8403337,8.301551296,8.271821703846154,8.361820384615385,8.165594688461539,8.169586231
38,12,16,28,28.00437276,210.0656636,209.0186505,212.50182,207.5900229,207.1309788,7.397534957,7.464951803571429,7.589350714285715,7.413929389285714,7.502345129
39,16,12,28,27.98387683,232.0856105,225.6750928,226.02821,226.8665502,232.4185632,8.300662972,8.059824742857142,8.072436071428571,8.102376792857143,8.288771804
40,20,8,28,28.05781,166.1920652,175.4529522,178.0739,164.8753481,141.8706729,5.066809747,6.266176864285714,6.359782142857143,5.888405289285714,5.9354309
41,14,15,29,28.98180061,239.8823817,230.8965871,232.90915,241.1039944,239.3177291,8.252335485,7.961951279310345,8.03135,8.31393084137931,8.271806266
42,18,11,29,29.002861,223.2133946,219.0688279,215.70433,224.1047627,223.2322874,7.697665082,7.554097513793104,7.438080344827586,7.727750437931035,7.697013607
