,0
0,1561.3181
1,1582.7766
2,1901.5912
3,1047.4924
4,750.1988
5,1578.348
6,427.62436
7,1657.9075
8,920.8853
9,748.40985
10,1993.7622
11,1220.9069
12,489.41467
13,964.8004
14,1847.9171
15,1451.0963
16,464.1864
17,1716.71
18,551.93396
19,1341.8577
20,1640.1362
21,317.56476
22,973.2252
23,549.99615
24,1085.7388
25,366.98114
26,925.642
27,728.24896
28,549.0764
29,335.638
30,542.44745
31,868.4955
32,1516.5413
33,204.7717
34,1286.6349
35,17.659521
36,1169.3435
37,742.0273
38,1462.5381
39,733.9783
40,1718.184
41,620.03345
42,956.9207
43,1896.2789
44,1299.9989
45,1127.0922
46,1010.3037
47,1989.2588
48,1053.711
49,1040.8868
50,1181.0394
51,886.09973
52,237.12007
53,279.68066
54,1601.5098
55,1655.9629
56,1265.9098
57,411.09787
58,886.4342
59,232.90915
60,279.8773
61,1281.3707
62,644.63214
63,691.54297
64,1615.1895
65,221.13487
66,138.5251
67,821.3722
68,165.19698
69,424.82346
70,617.30273
71,1924.6779
72,1970.447
73,711.0753
74,1187.2802
75,816.42896
76,1077.5586
77,67.23343
78,1691.7408
79,1335.7316
80,1611.1708
81,690.29144
82,346.87848
83,1774.9052
84,767.0353
85,674.68665
86,281.8343
87,354.87927
88,269.34058
89,1084.3174
90,1761.7814
91,1839.4491
92,1331.8169
93,303.33917
94,1408.8729
95,1415.3168
96,1504.2802
97,1354.3107
98,1036.4054
99,326.2921
100,1500.9594
101,1238.4601
102,1064.0643
103,1207.337
104,1189.1842
105,1588.8772
106,363.58557
107,1011.14026
108,1682.6359
109,620.9986
110,1387.7457
111,1909.9546
112,343.91165
113,1743.9844
114,576.1549
115,1683.9967
116,1240.7216
117,1266.9681
118,1072.9362
119,82.48455
120,1301.1735
121,1673.3875
122,1203.716
123,89.51719
124,871.0495
125,1318.8705
126,104.61956
127,1236.6227
128,1105.2948
129,1244.5233
130,1755.072
131,196.77983
132,1924.9261
133,977.7312
134,1096.1725
135,1774.7837
136,331.87695
137,124.69851
138,1585.7777
139,486.80734
140,1523.0779
141,860.21906
142,1902.7933
143,944.73914
144,1153.6292
145,1612.7303
146,808.2018
147,1809.039
148,1602.664
149,656.7931
150,1237.9636
151,1452.716
152,461.38422
153,1046.2548
154,817.6087
155,1451.7855
156,445.22397
157,212.50182
158,404.12088
159,892.65216
160,294.68442
